"Week start date","Ontario","Algoma Public Health Unit","Brant County Health Unit","Chatham-Kent Health Unit","Durham Region Health Department","Eastern Ontario Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Region Health Department","Hamilton Public Health Services","Hastings and Prince Edward Counties Health Unit","Huron Perth Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Public Health","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Region Public Health Department","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Ottawa Public Health","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Region of Waterloo, Public Health","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Region Public Health"
"2019-12-29","     0","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    0","   0","   0","   0"
"2020-01-05","     0","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    0","   0","   0","   0"
"2020-01-12","     0","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    0","   0","   0","   0"
"2020-01-19","     3","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   1","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    2","   0","   0","   0"
"2020-01-26","     0","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    0","   0","   0","   0"
"2020-02-02","     1","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   1","  0","  0","    0","   0","   0","   0"
"2020-02-09","     0","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    0","   0","   0","   0"
"2020-02-16","     1","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    1","   0","   0","   0"
"2020-02-23","    13","  0","   0","  0","   2","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    0","  0","  0","   0","  0","   0","   0","   0","  0","  0","    5","   0","   0","   6"
"2020-03-01","    15","  0","   0","  0","   0","   0","  0","  0","  0","   0","   0","   0","  0","   0","   0","   0","   0","   0","  0","  0","   0","    2","  0","  0","   1","  0","   0","   0","   0","  0","  0","   10","   0","   0","   2"
